company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,cash_from_operations_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,roce_percentage,roe_percentage,broad_sector,computed_roce,high_leverage_suppressed
APOLLOHOSP,Mar 2017,1.8054024255788312,10.115766262403527,3.952926976463488,0.9429692214846107,3.0894941634241246,0.8954708132790324,-529.0,1152.0,623.0,16.0,522.0,38.0,3125.0,14.66,36.13,29.95,2.217933405107117,17.2,13.81,Healthcare,12.331107314800436,False
APOLLOHOSP,Mar 2018,0.7278903311901006,9.717335921387845,1.8450184501845017,1.0538130381303814,2.7966101694915255,0.9589343880874825,132.0,405.0,537.0,8.0,522.0,59.0,3427.0,14.66,36.13,29.95,1.1772810564873615,17.2,13.81,Healthcare,12.352148525228328,False
APOLLOHOSP,Mar 2019,2.0796506186960593,11.126130810023916,5.9988002399520095,1.1016796640671866,3.3516819571865444,1.0492035784420686,194.0,711.0,905.0,17.0,522.0,35.0,3673.0,14.66,36.13,29.95,3.0425514790300454,17.2,13.81,Healthcare,15.64150135578707,False
APOLLOHOSP,Mar 2020,3.841024273139504,14.145994487418868,12.934131736526947,1.0766467065868264,3.401500938086304,0.996279564177518,1004.0,289.0,1293.0,33.0,522.0,18.0,3596.0,14.66,36.13,29.95,5.923811857947989,17.2,13.81,Healthcare,26.13898500576701,False
APOLLOHOSP,Mar 2021,1.2973484848484849,10.795454545454545,2.976319791440365,0.9037584184227677,2.7683741648106905,0.9269662921348315,385.0,880.0,1265.0,10.0,522.0,29.0,4160.0,14.66,36.13,29.95,1.7335448561412272,17.2,13.81,Healthcare,14.184639963482827,False
APOLLOHOSP,Mar 2022,7.556434563186251,14.928732183045762,19.704783923172684,0.723457229237062,6.746701846965699,1.1057235502601614,949.0,747.0,1696.0,73.0,522.0,16.0,4068.0,14.66,36.13,29.95,9.455647345539699,17.2,13.81,Healthcare,26.385305953977916,False
APOLLOHOSP,Mar 2023,5.080664579821816,12.430772935227546,13.617295901903839,0.6989351403678606,5.616797900262467,1.152330743618202,520.0,857.0,1377.0,57.0,522.0,26.0,4332.0,14.66,36.13,29.95,6.616763741781285,17.2,13.81,Healthcare,20.322886989553655,False
APOLLOHOSP,Mar 2024,4.905818773282963,12.56099480560365,13.480392156862745,0.7688869665513264,5.565701559020044,1.1383944570541153,383.0,1537.0,1920.0,63.0,522.0,26.0,5333.0,14.66,36.13,29.95,6.5082017957332745,17.2,13.81,Healthcare,20.368408183226016,False
APOLLOHOSP,TTM,5.979774292833065,13.410523230250623,,,6.2296137339055795,,,,,82.0,522.0,,,14.66,36.13,29.95,1.9932580976110217,17.2,13.81,Healthcare,,False
ASIANPAINT,Mar 2013,11.043412033511043,16.536557501904035,34.2789598108747,0.0741725768321513,44.07142857142857,1.5483490566037736,724.0,463.0,1187.0,12.0,188.0,40.0,251.0,13.03,20.28,20.97,15.623573633663172,41.75,31.45,Materials,50.92159559834938,False
ASIANPAINT,Mar 2014,10.335515548281506,16.399345335515548,31.27011636543699,0.06164892300074276,44.333333333333336,1.513312693498452,816.0,586.0,1402.0,13.0,188.0,42.0,249.0,13.03,20.28,20.97,14.372981535738981,41.75,31.45,Materials,49.62686567164179,False
ASIANPAINT,Mar 2015,10.481087036356959,16.47447668013221,30.09278785322649,0.08814846056516237,56.785714285714285,1.5273726722010321,723.0,465.0,1188.0,15.0,188.0,42.0,418.0,13.03,20.28,20.97,14.033749187261494,41.75,31.45,Materials,46.22093023255814,False
ASIANPAINT,Mar 2016,12.634013033424427,19.09466750753276,27.632183908045977,0.04950191570881226,59.95918367346939,1.351548442087319,1377.0,866.0,2243.0,18.0,188.0,41.0,323.0,13.03,20.28,20.97,13.872581794519242,41.75,31.45,Materials,42.90303738317757,False
ASIANPAINT,Mar 2017,13.384676669764971,19.87783826849024,26.512361914781696,0.07364544976328248,90.05405405405405,1.2141878274889157,846.0,681.0,1527.0,20.0,188.0,51.0,560.0,13.03,20.28,20.97,13.703742137345193,41.75,31.45,Materials,40.813326800587944,False
ASIANPAINT,Mar 2018,12.469539375928678,19.043090638930163,24.94649227110583,0.0633769322235434,86.34146341463415,1.2224805638305603,557.0,1556.0,2113.0,21.0,188.0,41.0,533.0,13.03,20.28,20.97,12.879504070288355,41.75,31.45,Materials,39.5840322039584,False
ASIANPAINT,Mar 2019,11.476091476091476,19.56860706860707,23.3132720937599,0.13937282229965156,36.71818181818182,1.1840728660225244,1552.0,918.0,2470.0,22.0,188.0,47.0,1320.0,13.03,20.28,20.97,11.991145478624633,41.75,31.45,Materials,37.42933926420165,False
ASIANPAINT,Mar 2020,13.725199148978279,20.568007520657066,27.38400789733465,0.11036525172754195,44.23529411764706,1.2523856735654977,2520.0,518.0,3038.0,28.0,188.0,43.0,1118.0,13.03,20.28,20.97,14.120530906626144,41.75,31.45,Materials,40.11379800853485,False
ASIANPAINT,Mar 2021,14.769953484087875,22.36448210749321,25.042948617835393,0.0853506168983289,56.391304347826086,1.0667157946450503,3142.0,541.0,3683.0,33.0,188.0,55.0,1093.0,13.03,20.28,20.97,13.626539298856107,41.75,31.45,Materials,37.32642636160875,False
ASIANPAINT,Mar 2022,10.60101027456101,16.50802377925157,22.335650159281784,0.11490008688097307,53.68421052631579,1.2675755727850857,669.0,317.0,986.0,32.0,188.0,61.0,1587.0,13.03,20.28,20.97,11.401412002209293,41.75,31.45,Materials,33.11903370348724,False
ASIANPAINT,Mar 2023,12.163298442981821,18.150714720635566,26.231865932966482,0.12087293646823412,46.46527777777778,1.3378719112455875,2911.0,1282.0,4193.0,43.0,188.0,60.0,1933.0,13.03,20.28,20.97,13.24434542906463,41.75,31.45,Materials,37.32775453277545,False
ASIANPAINT,Mar 2024,15.658543456824905,21.3692069305536,29.677488252883382,0.1321016659547202,41.00487804878049,1.187084044011906,3556.0,2548.0,6104.0,57.0,188.0,58.0,2474.0,13.03,20.28,20.97,15.507705251240063,41.75,31.45,Materials,39.64720309404773,False
ASIANPAINT,TTM,13.295627458298643,19.181189170566448,,,32.14537444933921,,,,,48.0,188.0,,,13.03,20.28,20.97,4.431875819432881,41.75,31.45,Materials,,False
ATGL,Mar 2018,11.790393013100436,26.637554585152838,15.94488188976378,1.3238188976377954,3.568,0.49018908312522297,,,,6.0,36.0,0.0,1345.0,21.09,23.88,24.57,9.408487995329812,21.2,20.5,Energy,18.890300720033885,False
ATGL,Mar 2019,13.321698662012798,26.46887725421757,20.780399274047188,0.35753176043557167,5.711111111111111,0.83935546875,,,,2.0,36.0,12.0,394.0,21.09,23.88,24.57,11.647151134936662,21.2,20.5,Energy,34.35828877005348,False
ATGL,Mar 2020,23.253333333333334,31.733333333333334,29.63970088375255,0.2909585316111489,15.585365853658537,0.7572697899838449,,,,4.0,36.0,6.0,428.0,21.09,23.88,24.57,17.88343466902324,21.2,20.5,Energy,33.649289099526065,False
ATGL,Mar 2021,27.299528301886795,41.509433962264154,23.94002068252327,0.27352637021716647,18.35,0.529338327091136,,,,4.0,36.0,6.0,529.0,21.09,23.88,24.57,17.2562957705004,21.2,20.5,Energy,29.80105562322371,False
ATGL,Mar 2022,16.754443712969056,25.44437129690586,21.06788079470199,0.4283940397350993,15.452830188679245,0.6881087202718007,,,,5.0,36.0,5.0,1035.0,21.09,23.88,24.57,12.836811075980947,21.2,20.5,Energy,23.732251521298174,False
ATGL,Mar 2023,12.47144814984011,19.872087711283694,18.56511390683441,0.48350901054063244,11.846153846153847,0.7755535872453498,,,,5.0,36.0,5.0,1422.0,21.09,23.88,24.57,10.60403854797329,21.2,20.5,Energy,21.178088471235387,False
ATGL,Mar 2024,14.927374301675977,24.670391061452516,18.65921787709497,0.43491620111731844,10.504504504504505,0.6788531553398058,,,,6.0,36.0,4.0,1557.0,21.09,23.88,24.57,11.421815111370252,21.2,20.5,Energy,22.698072805139187,False
ATGL,TTM,13.841690841276419,23.891421467053462,,,11.367924528301886,,,,,6.0,36.0,,,21.09,23.88,24.57,4.613896947092139,21.2,20.5,Energy,,False
BAJAJ-AUTO,Mar 2013,15.645443196004994,18.257178526841447,38.84686918784873,0.014383137011779294,4446.0,1.5840056953013764,824.0,1394.0,2218.0,108.0,1109.0,42.0,116.0,8.13,9.36,10.18,18.692106026385037,33.5,26.5,Consumer Discretionary,54.34543454345434,False
BAJAJ-AUTO,Mar 2014,16.785022595222724,20.673387297015445,33.24481164551982,0.0058030884233303826,4837.0,1.3154559707342566,1430.0,2072.0,3502.0,117.0,1109.0,43.0,59.0,8.13,9.36,10.18,17.115096737158932,33.5,26.5,Consumer Discretionary,47.30099745746138,False
BAJAJ-AUTO,Mar 2015,14.012502894188469,19.115536003704563,27.273546642631818,0.010094637223974764,726.0,1.3525616935988976,1734.0,380.0,2114.0,105.0,1109.0,48.0,112.0,8.13,9.36,10.18,14.212870410139729,33.5,26.5,Consumer Discretionary,38.86856429017578,False
