company_id,sales,net_profit,eps,opm_percentage,net_profit_margin,borrowings,total_assets,debt_ratio,asset_turnover,sales_cagr,profit_cagr,roa,earnings_yield,operating_margin_ratio
ICICIGI,20487,1919,39.0,2577.0,9.366915605017816,0,68014,0.0,0.3012173964183844,15.98,16.64,2.821477931014203,0.19036462146727193,2577.0
PNB,109065,9157,8.0,,8.395910695456838,55017,72371,76.02078180486659,1.5070262950629396,8.81,5.62,12.652858189053626,0.007335075413744098,
POWERGRID,45843,15573,17.0,87.0,33.97028990249329,122568,255297,48.009964864452,0.1795673274656576,12.08,12.38,6.099954171024336,0.03708308793054556,87.0
RELIANCE,899041,79020,51.0,18.0,8.789365557299389,357525,1815123,19.69701226859006,0.4953058277593309,7.74,12.86,4.353423982837526,0.005672711255660198,18.0
RECLTD,47517,14145,54.0,101.0,29.7682934528695,483617,595227,81.24917048453784,0.0798300480320953,12.02,12.6,2.3764042961760805,0.11364353810215291,101.0
BOSCHLTD,16727,2490,844.0,13.0,14.886112273569676,31,18521,0.1673775714054316,0.9031369796447276,5.64,8.29,13.44419847740403,5.045734441322413,13.0
BRITANNIA,16769,2134,89.0,19.0,12.725863199952292,2754,9467,29.090524981514736,1.7713108693355868,9.49,21.09,22.54145980775325,0.5307412487327807,19.0
BPCL,448083,26859,62.0,10.0,5.994201967046283,58880,211226,27.875356253491525,2.121343963337847,5.75,27.01,12.71576415782148,0.01383672221441117,10.0
DLF,6427,2724,11.0,33.0,42.38369379181578,4290,62579,6.85533485674108,0.1027021844388692,-1.71,13.65,4.352897937007622,0.17115294849852186,33.0
DMART,50789,2536,39.0,8.0,4.993207190533383,713,23040,3.094618055555556,2.2043836805555554,28.07,34.93,11.006944444444445,0.07678828092697237,8.0
DRREDDY,28011,5578,67.0,28.0,19.9136053693192,4854,46728,10.387776065742168,0.5994478685156651,8.15,12.5,11.937168293100497,0.23919174609974653,28.0
ULTRACEMCO,70908,7004,243.0,18.0,9.877587860326056,16964,107611,15.76418767598108,0.6589289199059576,11.94,9.1,6.508628300080847,0.3426975799627687,18.0
CANBK,110519,15401,17.0,-7745.0,13.935160470145403,1369780,1535018,89.23543567567286,0.0719985042520674,11.29,16.05,1.0033107103630055,0.015381970520905909,-7745.0
CHOLAFIN,19163,3420,41.0,4548.0,17.846892448990243,157943,181945,86.80810134930886,0.1053230371815658,20.04,24.46,1.879688916980406,0.2139539738036842,4548.0
UNITDSPR,11321,1408,19.0,18.0,12.437063863616288,518,11955,4.332915098285237,0.9469677959012964,0.79,,11.77749895441238,0.16782969702323117,18.0
UNIONBANK,100376,13797,18.0,5.0,13.745317605802184,1251568,1401996,89.27044014390911,0.0715950687448466,13.4,18.43,0.9840969589071581,0.017932573523551446,5.0
